nombre,descripcion,genero,destacado
60 Seconds! Reatomized PS4, "Aventura de supervivencia y gestión en un refugio nuclear.", Aventura, 0
A Plage Tale Innocence, "aventura narrativa en una Francia medieval asolada por la peste y la Inquisición.", Terror, 0
Ancestors The Humankind Odyssey PS4, "Aventura de supervivencia y evolución en mundo abierto.", Aventura, 0
Ancestors PS5, "Aventura de supervivencia y evolución en mundo abierto.", Aventura, 0
AO Tennis 2, "simulador realista de tenis con modo carrera personalizable.", Deportes, 0
Atomic Heart PS4, "Atomic Heart es un videojuego FPS de mundo semiabierto con algunos elementos de rol de acción. El combate en el juego consiste en disparar y pelear con armas de fuego o cuerpo a cuerpo", FPS, 0
Atomic Heart PS5, "Atomic Heart es un videojuego FPS de mundo semiabierto con algunos elementos de rol de acción. El combate en el juego consiste en disparar y pelear con armas de fuego o cuerpo a cuerpo", FPS, 0
Among Us PS4, "Juego donde debes averiguar quien es el impostor y sobrevivir. Si eres el impostor, mata a todos y gana la partida", Terror, 0
Among Us PS5, "Juego donde debes averiguar quien es el impostor y sobrevivir. Si eres el impostor, mata a todos y gana la partida", Terror, 0
A Way Out PS4, "Aventura cooperativa de escape de prisión donde dos jugadores deben trabajar juntos", Acción, 0
A Way Out PS5, "Aventura cooperativa de escape de prisión donde dos jugadores deben trabajar juntos", Acción, 0
A way out + It Takes Two PS4, "Bundle de juegos de aventura para 2 jugadores", Aventura, 0
A way out + It Takes Two PS5, "Bundle de juegos de aventura para 2 jugadores", Aventura, 0
Alien Isolation THE COLLECTION PS4, "Survival horror ambientado en el universo de Alien con contenido adicional", Terror, 0
Alien Isolation THE COLLECTION PS5, "Survival horror ambientado en el universo de Alien con contenido adicional", Terror, 0
ARK Survival Evolved PS4, "Supervivencia en mundo abierto con dinosaurios y crafting", Supervivencia, 0
ARK Survival Evolved PS5, "Supervivencia en mundo abierto con dinosaurios y crafting", Supervivencia, 0
Assassins Creed Chronicles Trilogy PS4, "Trilogia clasica de Assassins Creed", Aventura, 0
Assassins Creed Chronicles Trilogy PS5, "Trilogia clasica de Assassins Creed", Aventura, 0
Assassins Creed Rogue Remastered PS4, "Aventura de asesinos en la era colonial con mecánicas navales", Aventura, 0
Assassins Creed Rogue Remastered PS5, "Aventura de asesinos en la era colonial con mecánicas navales", Aventura, 0
